organization_id,organization_initial,organization_name,date_entered,alias_name_1,alias_name_2,alias_name_3,website_url,vetted,date_vetted,risk_level,supplier,client,lab,other,notes
208,,Bright Pharma,NULL,NULL,NULL,NULL,NULL,0,NULL,No Risk,1,0,0,0,Data from Items Inventory
209,,Canyon Plastics,NULL,NULL,NULL,NULL,NULL,0,NULL,No Risk,1,0,0,0,Data from Items Inventory
210,,Carolina,NULL,NULL,NULL,NULL,NULL,0,NULL,No Risk,1,0,0,0,Data from Items Inventory
211,,Comar,NULL,NULL,NULL,NULL,NULL,0,NULL,No Risk,1,0,0,0,Data from Items Inventory
212,,Consolidated Design,NULL,NULL,NULL,NULL,NULL,0,NULL,No Risk,1,0,0,0,Data from Items Inventory
213,,Desiccare,NULL,NULL,NULL,NULL,NULL,0,NULL,No Risk,1,0,0,0,Data from Items Inventory
214,,Industrial Container,NULL,NULL,NULL,NULL,NULL,0,NULL,No Risk,1,0,0,0,Data from Items Inventory
215,,Keystone Corp.,NULL,NULL,NULL,NULL,NULL,0,NULL,No Risk,1,0,0,0,Data from Items Inventory
216,,MeasureX,NULL,NULL,NULL,NULL,NULL,0,NULL,No Risk,1,0,0,0,Data from Items Inventory
217,,Mold-Rite Plastics,NULL,NULL,NULL,NULL,NULL,0,NULL,No Risk,1,0,0,0,Data from Items Inventory
218,,National Measures,NULL,NULL,NULL,NULL,NULL,0,NULL,No Risk,1,0,0,0,Data from Items Inventory
219,,Performance Dry,NULL,NULL,NULL,NULL,NULL,0,NULL,No Risk,1,0,0,0,Data from Items Inventory
220,,Phoenix,NULL,NULL,NULL,NULL,NULL,0,NULL,No Risk,1,0,0,0,Data from Items Inventory
221,,PSPrint,NULL,NULL,NULL,NULL,NULL,0,NULL,No Risk,1,0,0,0,Data from Items Inventory
222,,Rieke,NULL,NULL,NULL,NULL,NULL,0,NULL,No Risk,1,0,0,0,Data from Items Inventory
223,,Silver Spur Corp.,NULL,NULL,NULL,NULL,NULL,0,NULL,No Risk,1,0,0,0,Data from Items Inventory
224,,Sonic Plastic,NULL,NULL,NULL,NULL,NULL,0,NULL,No Risk,1,0,0,0,Data from Items Inventory
225,,Super Shrink,NULL,NULL,NULL,NULL,NULL,0,NULL,No Risk,1,0,0,0,Data from Items Inventory
226,,Total Label USA,NULL,NULL,NULL,NULL,NULL,0,NULL,No Risk,1,0,0,0,Data from Items Inventory
227,,Uline,NULL,NULL,NULL,NULL,NULL,0,NULL,No Risk,1,0,0,0,Data from Items Inventory
228,,Visible,NULL,NULL,NULL,NULL,NULL,0,NULL,No Risk,1,0,0,0,Data from Items Inventory
