2022-06-16 11:20:00,745 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 15:04:44,579 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'last_name' doesn't have a default value'
2022-06-16 15:04:44,581 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'extra_column' in 'field list''
2022-06-16 15:04:51,707 |$| ERROR |$| File:db.py |$| Line:919 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE customer_id = 2' at line 1'
2022-06-16 15:04:52,591 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE age > '34'' at line 1'
2022-06-16 15:04:52,608 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 15:04:54,044 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 15:04:54,046 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'NOT_A_COLUMN' in 'field list''
2022-06-16 15:47:22,213 |$| ERROR |$| File:db.py |$| Line:978 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) quantity = quantity + 2 WHERE order_id = '7'' at line 1'
2022-06-16 15:47:23,045 |$| ERROR |$| File:db.py |$| Line:997 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) WHERE last_name = 'p%'' at line 1'
2022-06-16 15:47:26,347 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 15:47:27,879 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 15:47:27,978 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1146 (42S02): Table 'store.None' doesn't exist'
2022-06-16 15:47:28,049 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 15:47:38,417 |$| ERROR |$| File:db.py |$| Line:838 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '2'' AND is_deleted=0' at line 1'
2022-06-16 15:47:40,103 |$| ERROR |$| File:db.py |$| Line:791 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '= '2' AND is_deleted='0'' at line 1'
2022-06-16 15:47:40,130 |$| ERROR |$| File:db.py |$| Line:791 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'shouldn't make sense AND is_deleted='0'' at line 1'
2022-06-16 15:47:42,673 |$| ERROR |$| File:db.py |$| Line:723 |$| Error: '1054 (42S22): Unknown column 'not_a_column' in 'where clause''
2022-06-16 15:47:42,689 |$| ERROR |$| File:db.py |$| Line:723 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '='4' AND is_deleted=0' at line 1'
2022-06-16 15:47:45,565 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 15:47:45,566 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'last_name' doesn't have a default value'
2022-06-16 15:47:45,568 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'extra_column' in 'field list''
2022-06-16 15:47:52,522 |$| ERROR |$| File:db.py |$| Line:919 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE customer_id = 2' at line 1'
2022-06-16 15:47:53,829 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE age > '34'' at line 1'
2022-06-16 15:47:53,844 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 15:47:56,519 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 15:47:56,520 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'NOT_A_COLUMN' in 'field list''
2022-06-16 15:51:16,251 |$| ERROR |$| File:db.py |$| Line:978 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) quantity = quantity + 2 WHERE order_id = '7'' at line 1'
2022-06-16 15:51:17,292 |$| ERROR |$| File:db.py |$| Line:997 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) WHERE last_name = 'p%'' at line 1'
2022-06-16 15:51:20,213 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 15:51:20,969 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 15:51:21,087 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1146 (42S02): Table 'store.None' doesn't exist'
2022-06-16 15:51:21,178 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 15:51:31,866 |$| ERROR |$| File:db.py |$| Line:838 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '2'' AND is_deleted=0' at line 1'
2022-06-16 15:51:32,889 |$| ERROR |$| File:db.py |$| Line:791 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '= '2' AND is_deleted='0'' at line 1'
2022-06-16 15:51:32,921 |$| ERROR |$| File:db.py |$| Line:791 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'shouldn't make sense AND is_deleted='0'' at line 1'
2022-06-16 15:51:35,129 |$| ERROR |$| File:db.py |$| Line:723 |$| Error: '1054 (42S22): Unknown column 'not_a_column' in 'where clause''
2022-06-16 15:51:35,144 |$| ERROR |$| File:db.py |$| Line:723 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '='4' AND is_deleted=0' at line 1'
2022-06-16 15:51:37,867 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 15:51:37,869 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'last_name' doesn't have a default value'
2022-06-16 15:51:37,871 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'extra_column' in 'field list''
2022-06-16 15:51:51,044 |$| ERROR |$| File:db.py |$| Line:919 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE customer_id = 2' at line 1'
2022-06-16 15:51:51,929 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE age > '34'' at line 1'
2022-06-16 15:51:51,944 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 15:51:53,053 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 15:51:53,054 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'NOT_A_COLUMN' in 'field list''
2022-06-16 15:52:41,856 |$| ERROR |$| File:db.py |$| Line:978 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) quantity = quantity + 2 WHERE order_id = '7'' at line 1'
2022-06-16 15:52:43,042 |$| ERROR |$| File:db.py |$| Line:997 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) WHERE last_name = 'p%'' at line 1'
2022-06-16 15:52:46,042 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 15:52:48,581 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 15:52:48,673 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1146 (42S02): Table 'store.None' doesn't exist'
2022-06-16 15:52:48,754 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 15:52:56,442 |$| ERROR |$| File:db.py |$| Line:838 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '2'' AND is_deleted=0' at line 1'
2022-06-16 15:52:57,404 |$| ERROR |$| File:db.py |$| Line:791 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '= '2' AND is_deleted='0'' at line 1'
2022-06-16 15:52:57,431 |$| ERROR |$| File:db.py |$| Line:791 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'shouldn't make sense AND is_deleted='0'' at line 1'
2022-06-16 15:53:00,735 |$| ERROR |$| File:db.py |$| Line:723 |$| Error: '1054 (42S22): Unknown column 'not_a_column' in 'where clause''
2022-06-16 15:53:00,750 |$| ERROR |$| File:db.py |$| Line:723 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '='4' AND is_deleted=0' at line 1'
2022-06-16 15:53:04,689 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 15:53:04,691 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'last_name' doesn't have a default value'
2022-06-16 15:53:04,693 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'extra_column' in 'field list''
2022-06-16 15:53:11,485 |$| ERROR |$| File:db.py |$| Line:919 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE customer_id = 2' at line 1'
2022-06-16 15:53:12,338 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE age > '34'' at line 1'
2022-06-16 15:53:12,352 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 15:53:13,705 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 15:53:13,706 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'NOT_A_COLUMN' in 'field list''
2022-06-16 15:55:11,421 |$| ERROR |$| File:db.py |$| Line:978 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) quantity = quantity + 2 WHERE order_id = '7'' at line 1'
2022-06-16 15:55:12,503 |$| ERROR |$| File:db.py |$| Line:997 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) WHERE last_name = 'p%'' at line 1'
2022-06-16 15:55:15,547 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 15:55:16,373 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 15:55:16,442 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1146 (42S02): Table 'store.None' doesn't exist'
2022-06-16 15:55:16,605 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 15:55:26,339 |$| ERROR |$| File:db.py |$| Line:838 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '2'' AND is_deleted=0' at line 1'
2022-06-16 15:55:27,609 |$| ERROR |$| File:db.py |$| Line:791 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '= '2' AND is_deleted='0'' at line 1'
2022-06-16 15:55:27,638 |$| ERROR |$| File:db.py |$| Line:791 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'shouldn't make sense AND is_deleted='0'' at line 1'
2022-06-16 15:55:30,018 |$| ERROR |$| File:db.py |$| Line:723 |$| Error: '1054 (42S22): Unknown column 'not_a_column' in 'where clause''
2022-06-16 15:55:30,034 |$| ERROR |$| File:db.py |$| Line:723 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '='4' AND is_deleted=0' at line 1'
2022-06-16 15:55:33,156 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 15:55:33,158 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'last_name' doesn't have a default value'
2022-06-16 15:55:33,160 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'extra_column' in 'field list''
2022-06-16 15:55:40,470 |$| ERROR |$| File:db.py |$| Line:919 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE customer_id = 2' at line 1'
2022-06-16 15:55:41,498 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE age > '34'' at line 1'
2022-06-16 15:55:41,512 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 15:55:42,842 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 15:55:42,843 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'NOT_A_COLUMN' in 'field list''
2022-06-16 16:21:55,095 |$| ERROR |$| File:db.py |$| Line:978 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) quantity = quantity + 2 WHERE order_id = '7'' at line 1'
2022-06-16 16:21:55,968 |$| ERROR |$| File:db.py |$| Line:997 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) WHERE last_name = 'p%'' at line 1'
2022-06-16 16:22:00,788 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 16:22:01,514 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 16:22:01,653 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1146 (42S02): Table 'store.None' doesn't exist'
2022-06-16 16:22:01,746 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 16:22:10,552 |$| ERROR |$| File:db.py |$| Line:838 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '2'' AND is_deleted=0' at line 1'
2022-06-16 16:22:11,593 |$| ERROR |$| File:db.py |$| Line:791 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '= '2' AND is_deleted='0'' at line 1'
2022-06-16 16:22:11,621 |$| ERROR |$| File:db.py |$| Line:791 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'shouldn't make sense AND is_deleted='0'' at line 1'
2022-06-16 16:22:15,296 |$| ERROR |$| File:db.py |$| Line:723 |$| Error: '1054 (42S22): Unknown column 'not_a_column' in 'where clause''
2022-06-16 16:22:15,313 |$| ERROR |$| File:db.py |$| Line:723 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '='4' AND is_deleted=0' at line 1'
2022-06-16 16:22:18,221 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 16:22:18,223 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'last_name' doesn't have a default value'
2022-06-16 16:22:18,225 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'extra_column' in 'field list''
2022-06-16 16:22:25,337 |$| ERROR |$| File:db.py |$| Line:919 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE customer_id = 2' at line 1'
2022-06-16 16:22:26,126 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE age > '34'' at line 1'
2022-06-16 16:22:26,139 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 16:22:27,407 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 16:22:27,409 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'NOT_A_COLUMN' in 'field list''
2022-06-17 15:28:15,118 |$| ERROR |$| File:db.py |$| Line:978 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) quantity = quantity + 2 WHERE order_id = '7'' at line 1'
2022-06-17 15:28:16,671 |$| ERROR |$| File:db.py |$| Line:997 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) WHERE last_name = 'p%'' at line 1'
2022-06-17 15:28:19,271 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-17 15:28:20,807 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-17 15:28:20,914 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1146 (42S02): Table 'store.None' doesn't exist'
2022-06-17 15:28:21,007 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-17 15:28:31,880 |$| ERROR |$| File:db.py |$| Line:838 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '2'' AND is_deleted=0' at line 1'
2022-06-17 15:28:32,792 |$| ERROR |$| File:db.py |$| Line:791 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '= '2' AND is_deleted='0'' at line 1'
2022-06-17 15:28:32,821 |$| ERROR |$| File:db.py |$| Line:791 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'shouldn't make sense AND is_deleted='0'' at line 1'
2022-06-17 15:28:35,332 |$| ERROR |$| File:db.py |$| Line:723 |$| Error: '1054 (42S22): Unknown column 'not_a_column' in 'where clause''
2022-06-17 15:28:35,347 |$| ERROR |$| File:db.py |$| Line:723 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '='4' AND is_deleted=0' at line 1'
2022-06-17 15:28:38,105 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-17 15:28:38,108 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'last_name' doesn't have a default value'
2022-06-17 15:28:38,109 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'extra_column' in 'field list''
2022-06-17 15:28:44,627 |$| ERROR |$| File:db.py |$| Line:919 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE customer_id = 2' at line 1'
2022-06-17 15:28:45,703 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE age > '34'' at line 1'
2022-06-17 15:28:45,729 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-17 15:28:46,729 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-17 15:28:46,731 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'NOT_A_COLUMN' in 'field list''
2022-06-17 15:39:01,783 |$| ERROR |$| File:db.py |$| Line:978 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) quantity = quantity + 2 WHERE order_id = '7'' at line 1'
2022-06-17 15:39:02,917 |$| ERROR |$| File:db.py |$| Line:997 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) WHERE last_name = 'p%'' at line 1'
2022-06-17 15:39:05,743 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-17 15:39:06,618 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-17 15:39:06,681 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1146 (42S02): Table 'store.None' doesn't exist'
2022-06-17 15:39:06,774 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-17 15:39:17,071 |$| ERROR |$| File:db.py |$| Line:838 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '2'' AND is_deleted=0' at line 1'
2022-06-17 15:39:18,060 |$| ERROR |$| File:db.py |$| Line:791 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '= '2' AND is_deleted='0'' at line 1'
2022-06-17 15:39:18,090 |$| ERROR |$| File:db.py |$| Line:791 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'shouldn't make sense AND is_deleted='0'' at line 1'
2022-06-17 15:39:20,604 |$| ERROR |$| File:db.py |$| Line:723 |$| Error: '1054 (42S22): Unknown column 'not_a_column' in 'where clause''
2022-06-17 15:39:20,619 |$| ERROR |$| File:db.py |$| Line:723 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '='4' AND is_deleted=0' at line 1'
2022-06-17 15:39:24,606 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-17 15:39:24,608 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'last_name' doesn't have a default value'
2022-06-17 15:39:24,610 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'extra_column' in 'field list''
2022-06-17 15:39:30,064 |$| ERROR |$| File:db.py |$| Line:919 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE customer_id = 2' at line 1'
2022-06-17 15:39:33,111 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE age > '34'' at line 1'
2022-06-17 15:39:33,125 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-17 15:39:34,056 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-17 15:39:34,057 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'NOT_A_COLUMN' in 'field list''
2022-06-17 15:41:00,812 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-17 15:41:00,813 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'NOT_A_COLUMN' in 'field list''
2022-06-20 12:28:47,776 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-20 12:28:47,779 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'NOT_A_COLUMN' in 'field list''
